Name,Price,Type,Size,Latitude,Longitude,GPS_Text,URL,NearestCity,NearestCityLat,NearestCityLon,DistanceMiles,SizeAcres,Size_km2
Dyers Wood,"£55,000",Freehold,over 3 ¾ acres.,55.6291,-3.07932,"GPS coordinates: 55.6291, -3.07932",https://www.woodlands.co.uk/buying-a-wood/southern-scotland-and-northumberland/dyers-wood,Leith,55.98,-3.17,24.499,3.75,0.015175711584
Gillings Wood,"£59,000",Freehold,over 4 ¼ acres,55.6304,-3.07839,"GPS coordinates: 55.6304, -3.07839",https://www.woodlands.co.uk/buying-a-wood/southern-scotland-and-northumberland/gillings-wood,Leith,55.98,-3.17,24.416,4.25,0.0171991397952
Tuckers Wood,"£69,000",Freehold,over 5 ½ acres,55.6311,-3.07916,"GPS coordinates: 55.6311, -3.07916",https://www.woodlands.co.uk/buying-a-wood/southern-scotland-and-northumberland/tuckers-wood,Leith,55.98,-3.17,24.363,5.5,0.0222577103232
Eight Mile Meadow,"£65,000",Freehold,just under 4 ¼ acres,55.8226,-3.2844,"GPS coordinates: 55.8226, -3.2844",https://www.woodlands.co.uk/buying-a-wood/southern-scotland-and-northumberland/eight-mile-meadow,Leith,55.98,-3.17,11.743,4.25,0.0171991397952
Silverburn Meadow,"£55,000",Freehold,just over 3 ½ acres,55.8236,-3.28376,"GPS coordinates: 55.8236, -3.28376",https://www.woodlands.co.uk/buying-a-wood/southern-scotland-and-northumberland/silverburn-meadow,Leith,55.98,-3.17,11.67,3.5,0.0141639974784
Fingal Wood,"£45,000",Freehold,over 3 ¼ acres,55.9527,-3.72525,"GPS coordinates: 55.9527, -3.72525",https://www.woodlands.co.uk/buying-a-wood/northern-scotland/fingal-wood,Falkirk,56.0011,-3.7835,4.032,3.25,0.0131522833728
Kilglarry Wood,"£65,000",Freehold,nearly 4 ¾ acres,54.9494,-6.34397,"GPS coordinates: 54.9494, -6.34397",https://www.woodlands.co.uk/buying-a-wood/northern-ireland/kilglarry-wood,Belfast,54.5964,-5.93,29.446,4.75,0.0192225680064
Buckthorn Wood,"£65,000",Freehold,almost 3½ acres,54.245,-7.558,"GPS coordinates: 54.245, -7.558",https://www.woodlands.co.uk/buying-a-wood/northern-ireland/buckthorn-wood,Belfast,54.5964,-5.93,69.803,3.5,0.0141639974784
Gartmore Wood,"£229,000",Freehold,just under 27 acres,56.1453,-4.3611,"GPS coordinates: 56.1453, -4.3611",https://www.woodlands.co.uk/buying-a-wood/northern-scotland/gartmore-wood,Cumbernauld,55.945,-3.994,19.805,27.0,0.1092651234048
Tirkeeran Wood,"£85,000",Freehold,over 4½ acres,54.937,-7.22472,"GPS coordinates: 54.937, -7.22472",https://www.woodlands.co.uk/buying-a-wood/northern-ireland/tirkeeran-wood,Belfast,54.5964,-5.93,56.719,4.5,0.0182108539008
