Name,Price,Type,Size,Latitude,Longitude,GPS_Text,URL,NearestCity,NearestCityLat,NearestCityLon,DistanceMiles
Spinosa Wood,"£79,000",Freehold,nearly 4 acres,50.7995,-2.6333,"GPS coordinates: 50.7995, -2.6333",https://www.woodlands.co.uk/buying-a-wood/central-england/spinosa-wood,Yeovil,50.9452,-2.637,10.068
Blundstone Paddock,"£69,000",Freehold,5½ acres,52.5733,-2.96394,"GPS coordinates: 52.5733, -2.96394",https://www.woodlands.co.uk/buying-a-wood/the-welsh-marches/blundstone-paddock,Wellington,52.7001,-2.5157,20.737
Hill View Meadow,"£59,000",Freehold,just under 5 acres,52.5712,-2.96625,"GPS coordinates: 52.5712, -2.96625",https://www.woodlands.co.uk/buying-a-wood/the-welsh-marches/hill-view-meadow,Wellington,52.7001,-2.5157,20.886
Ivan's Wood,"£85,000",Freehold,just over 5 acres,52.5658,-2.97299,"GPS coordinates: 52.5658, -2.97299",https://www.woodlands.co.uk/buying-a-wood/the-welsh-marches/ivans-wood,Wellington,52.7001,-2.5157,21.303
Brookshill Plantation,"£119,000",Freehold,nearly 8 ¼ acres,52.567,-2.97207,"GPS coordinates: 52.567, -2.97207",https://www.woodlands.co.uk/buying-a-wood/the-welsh-marches/brookshill-plantation,Wellington,52.7001,-2.5157,21.232
Brookshill Nursery,"£85,000",Freehold,nearly 5 ½ acres,52.566,-2.97545,"GPS coordinates: 52.566, -2.97545",https://www.woodlands.co.uk/buying-a-wood/the-welsh-marches/brookshill-nursery,Wellington,52.7001,-2.5157,21.39
Tasker Meadow,"£59,000",Freehold,over 3 ⅓ acres,52.5555,-3.0011,"GPS coordinates: 52.5555, -3.0011",https://www.woodlands.co.uk/buying-a-wood/planting-land-wales-and-the-welsh-marches/tasker-meadow,Wellington,52.7001,-2.5157,22.677
Corndon Meadow,"£55,000",Freehold,about 3 acres,52.556,-3.00231,"GPS coordinates: 52.556, -3.00231",https://www.woodlands.co.uk/buying-a-wood/planting-land-wales-and-the-welsh-marches/corndon-meadow,Wellington,52.7001,-2.5157,22.707
Steel Wood,"£89,000",Freehold,about 6 acres,53.5814,-0.554655,"GPS coordinates: 53.5814, -0.554655",https://www.woodlands.co.uk/buying-a-wood/east-anglia/steel-wood,Scunthorpe,53.5809,-0.6502,3.919
Cuckoo Wood,"£25,000",Freehold,1 ⅓ acres,52.9364,-2.7727,"GPS coordinates: 52.9364, -2.7727",https://www.woodlands.co.uk/buying-a-wood/north-wales/cuckoo-wood,Wrecsam,53.046,-2.993,11.887
